ORIGIN,DEST,TOTAL_DEPARTURES,TOTAL_PASSENGERS,AVG_PAX_PER_FLIGHT,AVG_FARE
ORD,PVD,36.0,1457.0,40.47222222222222,218.0579130434783
ORD,RDU,46.0,2021.0,43.93478260869565,228.14635761589403
ORD,RIC,22.0,987.0,44.86363636363637,210.18614379084968
ORD,ROC,41.0,2168.0,52.8780487804878,201.31850877192983
ORD,RST,66.0,2505.0,37.95454545454545,246.46864406779665
ORD,SDF,45.0,1730.0,38.44444444444444,192.56675862068963
ORD,SGF,78.0,2564.0,32.87179487179487,212.2254961832061
ORD,SLC,1.0,68.0,68.0,285.46000000000004
ORD,SRQ,1.0,73.0,73.0,309.2342857142857
ORD,STL,67.0,3685.0,55.0,212.2794214876033
ORD,SYR,24.0,1453.0,60.54166666666666,219.5841891891892
ORD,TUL,24.0,1409.0,58.708333333333336,203.2769696969697
ORD,TVC,66.0,2223.0,33.68181818181818,191.43473684210528
ORD,TYS,48.0,1810.0,37.708333333333336,230.67095693779905
ORD,XNA,67.0,2650.0,39.55223880597015,240.6886057692308
ORF,ORD,40.0,1799.0,44.975,190.8146031746032
PHX,ABQ,1.0,70.0,70.0,141.415
PHX,BFL,31.0,1695.0,54.67741935483871,254.2243697478992
PHX,BIL,2.0,92.0,46.0,478.45666666666665
PHX,FAR,22.0,1243.0,56.5,276.14171215880896
PHX,GJT,30.0,1157.0,38.56666666666667,239.945
